Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
87,Cárdenas\Cardenas,es ESP,GK,Levante,24-052,1997,7.0,239,164,75,21,0,25,17,0,0,0,0,0,128,13,98,21,171,0,0,36,175,2,6,2,1,Matches
88,Marc Cardona\Marc-Cardona,es ESP,FWMF,Osasuna,25-315,1995,0.6,28,27,1,0,0,5,0,1,0,0,0,0,12,9,7,7,16,4,1,0,17,1,1,0,2,Matches
89,Diego Carlos\Diego-Carlos,br BRA,DF,Sevilla,28-065,1993,31.0,1919,1872,47,42,1,142,99,3,0,0,0,0,1549,90,280,263,1582,42,2,7,1742,5,32,14,5,Matches
90,Juan Carlos\Juan-Carlos,es ESP,MFFW,Huesca,30-065,1991,3.2,97,96,1,1,0,25,0,2,0,0,0,0,77,12,8,7,82,3,0,1,73,2,1,0,4,Matches
91,Yannick Carrasco\Yannick-Carrasco,be BEL,DFMF,Atlético Madrid,27-257,1993,23.2,1017,870,147,43,6,146,34,66,56,30,13,0,735,135,147,115,832,15,48,4,758,6,21,30,40,Matches
92,Sergio Carreira\Sergio-Carreira,es ESP,DF,Celta Vigo,20-218,2000,2.9,118,94,24,0,0,16,2,4,0,0,0,0,66,25,27,7,81,4,24,1,91,0,2,2,7,Matches
93,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Elche,29-359,1991,11.1,317,309,8,1,0,122,6,2,0,0,0,0,156,73,88,18,181,39,0,14,226,1,6,2,8,Matches
94,Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,29-128,1992,10.6,822,700,122,15,1,62,23,22,0,0,0,0,505,191,126,46,628,26,107,9,700,3,7,14,29,Matches
95,William Carvalho\William-Carvalho,pt POR,MF,Betis,29-042,1992,13.3,950,928,22,22,2,139,31,2,0,0,0,0,724,95,131,152,754,24,0,1,810,2,10,16,12,Matches
96,Casemiro\Casemiro,br BRA,MF,Real Madrid,29-085,1992,31.5,1915,1865,50,46,2,292,85,13,0,0,0,0,1349,244,322,220,1524,93,3,19,1605,8,34,30,40,Matches
97,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Getafe,27-259,1993,10.0,207,194,13,10,0,26,8,0,0,0,0,0,105,24,78,16,143,34,3,0,128,1,10,6,4,Matches
98,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Villarreal,27-259,1993,0.1,7,6,1,1,0,1,0,0,0,0,0,0,3,0,4,1,6,0,0,0,4,0,0,0,0,Matches
99,Chema\Chema,es ESP,DFMF,Getafe,29-077,1992,5.2,112,103,9,8,0,12,9,0,0,0,0,0,43,18,51,72,16,18,1,0,67,2,8,2,3,Matches
100,Denis Cheryshev\Denis-Cheryshev,ru RUS,MF,Valencia,30-144,1990,12.1,334,325,9,1,0,61,13,31,1,0,0,1,197,74,63,246,39,25,7,5,206,2,9,13,29,Matches
101,Samuel Chukwueze\Samuel-Chukwueze,ng NGA,MFFW,Villarreal,21-362,1999,15.2,532,514,18,1,2,114,11,37,9,3,0,0,394,62,76,465,28,19,8,1,397,2,11,14,20,Matches
102,Víctor Chust\Victor-Chust,es ESP,DF,Real Madrid,21-075,2000,1.1,70,67,3,2,0,5,1,0,0,0,0,0,58,5,7,13,53,2,1,0,65,0,1,0,0,Matches
