Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
84,Ander Capa\Ander-Capa,es ESP,DF,Athletic Club,29-100,1992,23.7,36,1.52,30,2,1,2,0,1,3,0.13,2,0,0,1,0,0,Matches
85,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Villarreal,32-312,1988,12.4,8,0.64,5,0,1,0,1,1,0,0.00,0,0,0,0,0,0,Matches
86,Isaac Carcelen\Isaac-Carcelen,es ESP,DF,Cádiz,28-026,1993,27.7,29,1.05,20,7,0,1,1,0,1,0.04,1,0,0,0,0,0,Matches
87,Cárdenas\Cardenas,es ESP,GK,Levante,24-052,1997,7.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
88,Marc Cardona\Marc-Cardona,es ESP,FWMF,Osasuna,25-315,1995,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
89,Diego Carlos\Diego-Carlos,br BRA,DF,Sevilla,28-065,1993,31.0,15,0.48,12,0,0,3,0,0,1,0.03,0,0,0,1,0,0,Matches
90,Juan Carlos\Juan-Carlos,es ESP,MFFW,Huesca,30-065,1991,3.2,10,3.09,8,0,0,0,1,1,1,0.31,1,0,0,0,0,0,Matches
91,Yannick Carrasco\Yannick-Carrasco,be BEL,DFMF,Atlético Madrid,27-257,1993,23.2,86,3.71,53,13,14,4,2,0,17,0.73,10,4,3,0,0,0,Matches
92,Sergio Carreira\Sergio-Carreira,es ESP,DF,Celta Vigo,20-218,2000,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
93,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Elche,29-359,1991,11.1,17,1.53,16,0,1,0,0,0,3,0.27,3,0,0,0,0,0,Matches
94,Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,29-128,1992,10.6,18,1.71,14,0,1,2,0,1,5,0.47,4,0,0,1,0,0,Matches
95,William Carvalho\William-Carvalho,pt POR,MF,Betis,29-042,1992,13.3,19,1.43,15,0,1,2,1,0,1,0.08,0,0,0,1,0,0,Matches
96,Casemiro\Casemiro,br BRA,MF,Real Madrid,29-085,1992,31.5,53,1.68,44,1,0,2,3,3,8,0.25,7,0,0,1,0,0,Matches
97,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Getafe,27-259,1993,10.0,2,0.20,2,0,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
98,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Villarreal,27-259,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
99,Chema\Chema,es ESP,DFMF,Getafe,29-077,1992,5.2,1,0.19,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
100,Denis Cheryshev\Denis-Cheryshev,ru RUS,MF,Valencia,30-144,1990,12.1,25,2.07,18,1,2,0,2,2,4,0.33,4,0,0,0,0,0,Matches
101,Samuel Chukwueze\Samuel-Chukwueze,ng NGA,MFFW,Villarreal,21-362,1999,15.2,57,3.76,38,1,8,0,10,0,5,0.33,3,0,1,0,1,0,Matches
102,Víctor Chust\Victor-Chust,es ESP,DF,Real Madrid,21-075,2000,1.1,1,0.95,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
103,Cifu\Cifu,es ESP,DF,Elche,30-226,1990,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
