Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
91,Yannick Carrasco\Yannick-Carrasco,be BEL,DFMF,Atlético Madrid,27-257,1993,23.2,6,0,0,32,33,4,66,28,23,0,1,0,163,4,15,21.1,Matches
92,Sergio Carreira\Sergio-Carreira,es ESP,DF,Celta Vigo,20-218,2000,2.9,0,0,0,2,2,0,4,1,2,0,0,0,16,1,1,50.0,Matches
93,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Elche,29-359,1991,11.1,3,0,0,28,14,2,2,7,9,0,0,0,51,78,58,57.4,Matches
94,Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,29-128,1992,10.6,5,0,0,16,11,0,22,16,21,0,1,0,100,11,8,57.9,Matches
95,William Carvalho\William-Carvalho,pt POR,MF,Betis,29-042,1992,13.3,6,1,1,18,11,0,2,8,19,0,0,0,118,32,22,59.3,Matches
96,Casemiro\Casemiro,br BRA,MF,Real Madrid,29-085,1992,31.5,11,1,1,55,54,4,13,59,55,0,0,0,349,103,81,56.0,Matches
97,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Getafe,27-259,1993,10.0,5,0,0,14,15,0,0,13,7,0,3,1,104,39,18,68.4,Matches
98,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Villarreal,27-259,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100.0,Matches
99,Chema\Chema,es ESP,DFMF,Getafe,29-077,1992,5.2,3,1,0,12,3,0,0,7,4,0,0,0,50,10,14,41.7,Matches
100,Denis Cheryshev\Denis-Cheryshev,ru RUS,MF,Valencia,30-144,1990,12.1,3,0,0,25,14,1,31,7,17,0,0,0,71,15,20,42.9,Matches
101,Samuel Chukwueze\Samuel-Chukwueze,ng NGA,MFFW,Villarreal,21-362,1999,15.2,0,0,0,13,30,16,37,7,9,1,0,0,89,13,15,46.4,Matches
102,Víctor Chust\Victor-Chust,es ESP,DF,Real Madrid,21-075,2000,1.1,0,0,0,1,0,0,0,1,1,0,0,0,9,3,3,50.0,Matches
103,Cifu\Cifu,es ESP,DF,Elche,30-226,1990,5.0,1,0,0,6,6,0,9,3,6,0,0,0,52,8,7,53.3,Matches
104,Alberto Cifuentes\Alberto-Cifuentes,es ESP,GK,Cádiz,41-355,1979,2.0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,,Matches
105,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,32-027,1989,9.0,0,0,0,0,2,0,0,0,0,0,0,0,42,0,0,,Matches
106,Carlos Clerc\Carlos-Clerc,es ESP,DF,Levante,29-087,1992,30.6,5,0,0,38,33,4,85,35,47,1,0,0,270,48,27,64.0,Matches
107,Coke\Coke,es ESP,DF,Levante,34-023,1987,9.2,1,0,0,11,8,0,8,15,11,0,1,0,67,13,21,38.2,Matches
108,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Villarreal,30-006,1991,7.9,4,0,0,16,16,0,3,16,9,0,0,0,89,15,9,62.5,Matches
109,Iñigo Córdoba\Inigo-Cordoba,es ESP,FWMF,Athletic Club,24-067,1997,1.1,0,0,0,3,3,1,1,1,0,0,0,0,11,2,0,100.0,Matches
110,Iñigo Córdoba\Inigo-Cordoba,es ESP,MF,Alavés,24-067,1997,2.4,0,0,0,7,4,2,6,4,5,0,0,0,20,5,6,45.5,Matches
111,Ángel Correa\Angel-Correa,ar ARG,FWMF,Atlético Madrid,26-071,1995,25.7,3,0,0,37,30,12,39,21,30,0,0,0,165,14,41,25.5,Matches
112,Rober Correa\Rober-Correa,es ESP,DF,Eibar,28-241,1992,11.8,3,0,0,7,17,1,28,21,14,1,0,0,148,44,24,64.7,Matches
113,Thierry Correia\Thierry-Correia,pt POR,DF,Valencia,22-071,1999,22.7,6,1,1,30,37,2,46,33,33,0,0,0,180,32,29,52.5,Matches
114,Diego Costa\Diego-Costa,es ESP,FW,Atlético Madrid,32-224,1988,2.3,1,0,0,7,3,5,2,0,0,1,0,0,3,9,15,37.5,Matches
